조사연도,지역 구분,채소류 종류,품목,재배면적(시설)_ha,단수(시설)_kg,생산량(시설)_톤
2011,충청남도 공주시,엽채류,부추,6560,10.5,12903.97
2014,충청남도 공주시,엽채류,부추,6331,10.5,22157
2013,충청남도 공주시,엽채류,부추,6331,9.9,20893
2013,충청남도 태안군,엽채류,부추,5391,10.1,18700
2011,충청남도 아산시,엽채류,부추,5337,8.8,15880
2010,충청남도 아산시,엽채류,부추,5337,22.2,29280
2012,충청남도 태안군,엽채류,부추,5334,10.3,18600
2015,충청남도 아산시,엽채류,부추,5277,9,15830
2014,충청남도 아산시,엽채류,부추,5277,9,15830
2013,충청남도 아산시,엽채류,부추,5277,9,15830
2012,충청남도 아산시,엽채류,부추,5277,9,15890
2011,충청남도 당진시,엽채류,부추,4590,13.1,14960
2015,충청남도 홍성군,엽채류,부추,4000,2.6,3200
2014,충청남도 홍성군,엽채류,부추,4000,2.6,3200
2012,충청남도 홍성군,엽채류,부추,4000,7.5,10000
2011,충청남도 홍성군,엽채류,부추,4000,4.4,17780
2012,충청남도 천안시,엽채류,부추,3960,17.7,35000
2011,충청남도 부여군,엽채류,부추,3000,2.7,8000
2010,충청남도 부여군,엽채류,부추,3000,2.7,8000
2014,충청남도 태안군,엽채류,부추,2650,10.1,9350
2010,충청남도 홍성군,엽채류,부추,2600,1.2,3000
2015,충청남도 공주시,엽채류,부추,2475,11.5,9250
2012,충청남도 공주시,엽채류,부추,2475,11.5,9250
2013,충청남도 천안시,엽채류,부추,1980,2.7,5290
2015,충청남도 천안시,엽채류,부추,1880,7.7,4840
2015,충청남도 태안군,엽채류,부추,730,9.4,2200
2014,충청남도 부여군,엽채류,부추,700,8.6,6000
2013,충청남도 부여군,엽채류,부추,661.7,11.7,6000.6
2012,충청남도 부여군,엽채류,부추,661,9.1,6000
2011,충청남도 논산시,엽채류,상추,1985000,148.9,3974540
2012,충청남도 논산시,엽채류,상추,1207236,56,2263500
2015,충청남도 논산시,엽채류,상추,1101093.3,69.1,2211628
2014,충청남도 논산시,엽채류,상추,1100709,82.1,2186571
2013,충청남도 논산시,엽채류,상추,319165,116.2,627062
2010,충청남도 논산시,엽채류,상추,76176,65.1,154480
